,Name,Address,Upřesnění polohy,Telefon,Příjem,Cena za samoodběr,Způsob rezervace,Odkaz na rezervační systém,DRIVE-IN,Calendar
60,Medical Testing s.r.o. - Arkalycká,"Arkalycká 748/2,149 00 Praha 4",,,,,Přes webové stránky,www.covidpass.cz,Ne,Út 31.8.   Volná kapacita 40 z 40     St 1.9.   Volná kapacita 40 z 40     Čt 2.9.   Volná kapacita 40 z 40     Pá 3.9.   Volná kapacita 40 z 40     So 4.9.   Volná kapacita 40 z 40     Ne 5.9.   Volná kapacita 40 z 40     Po 6.9.   Volná kapacita 40 z 40
61,Medical testing s.r.o. - odběrové místo centrum Radotín,"Náměstí Osvoboditelů, Praha 5 - Radotín",,+420606108657,Osoby se žádankou i samoplátce,,Přes webové stránky,www.covidpass.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 509 z 555     Čt 2.9.   Volná kapacita 530 z 555     Pá 3.9.   Volná kapacita 530 z 555     So 4.9.   Volná kapacita 552 z 555     Ne 5.9.   Volná kapacita 552 z 555     Po 6.9.   Volná kapacita 553 z 555
62,Medical testing s.r.o. - odběrové místo FASHION ARÉNA Štěrboholy,"Zamenhofova 440, 10800 Praha-Štěrboholy",Parcelní číslo: 432/15,+420721697205,Osoby se žádankou i samoplátce,,Přes webové stránky,www.covidpass.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
63,Medical testing s.r.o. - odběrové místo Náplavka Čechův most,"pata Čechova mostu, p.č. (1006). Č.LV 122, 110 00 Praha 1","pata Čechova mostu, p.č. (1006). Č.LV 122, 110 00 Praha 1",+420721664528,Osoby se žádankou i samoplátce,,Přes webové stránky,www.covidpass.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 540 z 555     Čt 2.9.   Volná kapacita 551 z 555     Pá 3.9.   Volná kapacita 548 z 555     So 4.9.   Volná kapacita 554 z 555     Ne 5.9.   Volná kapacita 554 z 555     Po 6.9.   Volná kapacita 555 z 555
64,Medical testing s.r.o. - odběrové místo Praha 11 Kaplanova,"Kaplanova ul., 14900 Praha11",,+420606102148,Osoby se žádankou i samoplátce,,Web,www.covidpass.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 546 z 555     Čt 2.9.   Volná kapacita 550 z 555     Pá 3.9.   Volná kapacita 549 z 555     So 4.9.   Volná kapacita 553 z 555     Ne 5.9.   Volná kapacita 552 z 555     Po 6.9.   Volná kapacita 554 z 555
65,Medical testing s.r.o. - odběrové místo Praha 8 Žernosecká,Žernosecká ul. 180 00 Praha 8,paroviště areálu Beachklub Ládví,+420720625283,Osoby se žádankou i samoplátce,,Web,www.covidpass.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 529 z 555     Čt 2.9.   Volná kapacita 528 z 555     Pá 3.9.   Volná kapacita 532 z 555     So 4.9.   Volná kapacita 544 z 555     Ne 5.9.   Volná kapacita 547 z 555     Po 6.9.   Volná kapacita 552 z 555
66,Medical testing s.r.o. - odběrové místo Praha 9 Kovanecká,"Kovanecká ul., 199 00 Praha 9",parkoviště před arénou UNYP,+420606102163,Osoby se žádankou i samoplátce,,Web,www.covidpass.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 526 z 555     Čt 2.9.   Volná kapacita 539 z 555     Pá 3.9.   Volná kapacita 533 z 555     So 4.9.   Volná kapacita 548 z 555     Ne 5.9.   Volná kapacita 552 z 555     Po 6.9.   Volná kapacita 552 z 555
67,MEDICAL TESTING s.r.o. - odběrové místo Praha Hořejší nábřeží,na nábřeží Vltavy pod Palackého mostem strana Praha-Smíchov,na nábřeží Vltavy pod Palackého mostem strana Praha-Smíchov,+420728136481,Osoby se žádankou i samoplátce,,Přes webové stránky,www.covidpass.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 524 z 555     Čt 2.9.   Volná kapacita 542 z 555     Pá 3.9.   Volná kapacita 551 z 555     So 4.9.   Volná kapacita 553 z 555     Ne 5.9.   Volná kapacita 552 z 555     Po 6.9.   Volná kapacita 554 z 555
68,Medical testing s.r.o. - odběrové místo Stodůlky EGLO,"Plzeňská 1110/21, 155 00 Praha 13-Stodůlky","parkoviště za budovou EGLO, ul. Plzeňká a Jeremiášova, 155 00 Praha 13",,Osoby se žádankou i samoplátce,,Přes webové stránky,www.covidpass.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 548 z 555     Čt 2.9.   Volná kapacita 548 z 555     Pá 3.9.   Volná kapacita 552 z 555     So 4.9.   Volná kapacita 552 z 555     Ne 5.9.   Volná kapacita 554 z 555     Po 6.9.   Volná kapacita 555 z 555
69,Medical testing s.r.o. - odběrové místo Zbraslav,Roh ulice El. Přemyslovny a Nad Kamínkou,,,Osoby se žádankou i samoplátce,,vlastní systém,www.covidpass.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 522 z 555     Čt 2.9.   Volná kapacita 543 z 555     Pá 3.9.   Volná kapacita 537 z 555     So 4.9.   Volná kapacita 545 z 555     Ne 5.9.   Volná kapacita 539 z 555     Po 6.9.   Volná kapacita 552 z 555
70,Medicínské centrum Praha - Odběrové místo,Mezi Vodami 205/29  143 00 Praha 4 – Modřany,Odběrový stan,246028543,Osoby se žádankou i samoplátce,,rezervační systém on-line,medicinske-centrum-praha-s-r-o.reservio.com,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
71,"MediCredit a.s. - odběrové místo Aquapark Barrandov, K Barrandovu 1173/8, 15200 Praha 5 - Hlubočepy","K Barrandovu 1173/8, 15200 Praha 5 - Hlubočepy",Odběrové místo se nachází v prostorách Aquaparku Barrandov.,734200336,Osoby se žádankou i samoplátce,,online,rezervace.aeskulab.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
72,MediCredit a.s. - Smíchovské nádraží Factory Office Center,Nádražní 893/30,"Odběrové místo se nachází v mobilním kontejneru na parkovišti Factory Office Center. Možnost parkování, vjezd na parkoviště od OMW a McDonalds.",734200336,Osoby se žádankou i samoplátce,,online,rezervace.aeskulab.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
73,Medidental - Kytlická,"Kytlická 758/21, 19000 Praha 9 - Prosek",vedle Zdravotního střediska Kytlická,+420725509256,Osoby se žádankou i samoplátce,,rezervační systém nebo bez rezervace,www.covid-prosek.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
74,Městská poliklinika Praha - odběrové místo Spálená,"Spálená 12, Praha 1","vchod z ulice, vedle hlavního vchodu do MPP",,Osoby se žádankou i samoplátce,,Přes webové stránky,www.prahamp.cz,Ne,Út 31.8.   Volná kapacita1 z 84     St 1.9.   Volná kapacita8 z 84     Čt 2.9.   Volná kapacita10 z 84     Pá 3.9.   Volná kapacita9 z 84     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita16 z 84
75,Nemocnice na Bulovce,Budínova 67/2 Praha 8 – Libeň 180 81,budova č. 7 jižní část - Klinika infekčních parazitárních a tropických nemocí,739515083,Osoby se žádankou i samoplátce,,Přes webové stránky,bulovka.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
76,Nemocnice Na Františku - odběrové místo,"Na Františku 847/8, Praha 1",vchod z ulice Kozí,,Osoby se žádankou i samoplátce,,odbavujeme POUZE objednané klienty přes web,www.citylab.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
77,NutriMed Lab s.r.o. - odběrové místo Libeň,"Na Úbočí 1353/4, 182 00 Praha 8 - Libeň",,777513435,Samoplátce,,telefonicky,,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
78,Ordinace Ruzyně s.r.o. - odběrové místo Centrum Černý Most,"Chlumecká 765/6, Praha 9, 198 00",u západního vstupu do CČM,724104155,Osoby se žádankou i samoplátce,,web,www.mmtesting.cz,Ne,Út 31.8.   Volná kapacita 460 z 600     St 1.9.   Volná kapacita 586 z 600     Čt 2.9.   Volná kapacita 592 z 600     Pá 3.9.   Volná kapacita 568 z 600     So 4.9.   Volná kapacita 584 z 600     Ne 5.9.   Volná kapacita 590 z 600     Po 6.9.   Volná kapacita 596 z 600
79,Ordinace Ruzyně s.r.o. - odběrové místo Centrum Chodov,"Roztylská 2321/19, Praha 4","park Šustění, u vchodu A",724104155,Osoby se žádankou i samoplátce,,web,www.mmtesting.cz,Ne,Út 31.8.   Volná kapacita 296 z 480     St 1.9.   Volná kapacita 442 z 480     Čt 2.9.   Volná kapacita 456 z 480     Pá 3.9.   Volná kapacita 460 z 480     So 4.9.   Volná kapacita 470 z 480     Ne 5.9.   Volná kapacita 456 z 480     Po 6.9.   Volná kapacita 474 z 480
80,Ordinace Ruzyně s.r.o. - odběrové místo Čakovice,"Kostelecká, Praha 9",parkoviště Globus Čakovice,724104155,Osoby se žádankou i samoplátce,,Přes webové stránky,www.mmtesting.cz,Ne,Út 31.8.   Volná kapacita 458 z 600     St 1.9.   Volná kapacita 426 z 480     Čt 2.9.   Volná kapacita 442 z 480     Pá 3.9.   Volná kapacita 454 z 480     So 4.9.   Volná kapacita 458 z 480     Ne 5.9.   Volná kapacita 470 z 480     Po 6.9.   Volná kapacita 466 z 480
81,Ordinace Ruzyně s.r.o. - odběrové místo Smíchov,"Plzeňská 233/8, 150 00 Praha 5 - Smíchov",vedle vstupu do OC Smíchov z Plzeňské ulice,724104155,Osoby se žádankou i samoplátce,,Přes webové stránky,www.mmtesting.cz,Ne,Út 31.8.   Volná kapacita106 z 360     St 1.9.   Volná kapacita 166 z 240     Čt 2.9.   Volná kapacita 184 z 240     Pá 3.9.   Volná kapacita 204 z 240     So 4.9.   Volná kapacita 228 z 240     Ne 5.9.   Volná kapacita 230 z 240     Po 6.9.   Volná kapacita 228 z 240
82,"Ordinace Ruzyně s.r.o., odběrové místo Chodov","Opatovská, Praha 11 - Chodov",park mezi Billou a poliklinikou,724104155,Osoby se žádankou i samoplátce,,Web,www.mmtesting.cz,Ne,Út 31.8.   Volná kapacita 266 z 384     St 1.9.   Volná kapacita 368 z 384     Čt 2.9.   Volná kapacita 374 z 384     Pá 3.9.   Volná kapacita 368 z 384     So 4.9.   Volná kapacita 378 z 384     Ne 5.9.   Volná kapacita 384 z 384     Po 6.9.   Volná kapacita 384 z 384
83,Poliklinika Praha Stodůlky - odběrové místo,"Hostinského 1533, Praha 13",,776728146,Osoby se žádankou i samoplátce,,Rezervační kalendář na webu,www.citylab.cz,Ne,Út 31.8.   Volná kapacita11 z 62     St 1.9.   Volná kapacita 44 z 51     Čt 2.9.   Volná kapacita 44 z 51     Pá 3.9.   Volná kapacita 45 z 51     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 43 z 48
84,PREVEDIG medical - ČZU Suchdol,"na hlavním parkovišti P1 v areálu České zemědělské univerzity v Praze, Kamýcká 129, Praha – Suchdol",,+420725720001,Osoby se žádankou i samoplátce,,Přes webové stránky,www.aiomica.com,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
85,PREVEDIG medical - Pražská tržnice,"Bubenské nábřeží 306/13, 170 00 Praha 7",Hala č. 19,+420778784417,Osoby se žádankou i samoplátce,,Přes webovou aplikaci: https://book.anygence.com,book.anygence.com,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
86,"PREVEDIG medical, s.r.o. - Odběrové místo","Poznaňská 461/34,180 00 Praha 8 - Bohnice",ve vyhřívané buňce v areálu laboratoře,270005885,Osoby se žádankou i samoplátce,,Přes webové stránky,www.prevedig.cz,Ne,Út 31.8.   Volná kapacita 32 z 60     St 1.9.   Volná kapacita29 z 60     Čt 2.9.   Volná kapacita 33 z 60     Pá 3.9.   Volná kapacita 51 z 60     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 52 z 60
87,"PREVEDIG medical, s.r.o. - odběrové místo FLORA Praha 3","na prostranství za OC Flora, Praha 3",,+420725720001,Osoby se žádankou i samoplátce,,Přes webové stránky,www.aiomica.com,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
88,"PREVEDIG medical, s.r.o. - odběrové místo Futurama Praha 8","Sokolovská 663/136c, 186 00 Praha 8-Karlín","Na prostranství u administrativní budovy Futurama, Praha 8",270005754,Osoby se žádankou i samoplátce,,Přes webové stránky,testynacovid.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
89,"PREVEDIG medical, s.r.o. - Odběrové místo Havlíčkovo náměstí","Havlíčkovo náměstí 300/10, 130 00 Praha 3",vstup přímo z ulice,+420725720001,Osoby se žádankou i samoplátce,,Přes aplikaci https://staynegative.cz/,www.aiomica.com,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
90,"PREVEDIG medical, s.r.o. - Odběrové místo Jedenáctka","Mírového hnutí 2385/3, Praha 11",ve vyhřívané buňce na parkovišti plaveckého bazénu Jedenáctka,270005881,Osoby se žádankou i samoplátce,,Přes webové stránky,www.prevedig.cz,Ano,Út 31.8.   Volná kapacita 84 z 160     St 1.9.   Volná kapacita 140 z 160     Čt 2.9.   Volná kapacita 147 z 160     Pá 3.9.   Volná kapacita 150 z 160     So 4.9.   Volná kapacita 68 z 80     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 153 z 160
91,"PREVEDIG medical, s.r.o. - Odběrové místo Pelléova Praha 6","Pelléova 244/9, 160 00 Praha 6",přízemí domu,270005886,Osoby se žádankou i samoplátce,,Přes webové stránky,www.prevedig.cz,Ne,Út 31.8.   Volná kapacita53 z 200     St 1.9.   Volná kapacita 101 z 200     Čt 2.9.   Volná kapacita 150 z 200     Pá 3.9.   Volná kapacita 130 z 200     So 4.9.   Volná kapacita 42 z 80     Ne 5.9.   Maximální kapacita     Po 6.9.   Volná kapacita 190 z 200
92,"PREVEDIG medical, s.r.o. - Odběrové místo Revoluční","Revoluční 30, Praha 1",vchod z ulice Lannova,+420602143132,Osoby se žádankou i samoplátce,,Přes aplikaci https://book.anygence.com,book.anygence.com,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
93,"PREVEDIG medical, s.r.o. - Odběrové místo Šutka","Čimická 848/41, Praha 8",ve vyhřívané buňce na parkovišti plaveckého bazénu Šutka,270005882,Osoby se žádankou i samoplátce,,Přes webové stránky,www.prevedig.cz,Ano,Út 31.8.   Volná kapacita 81 z 160     St 1.9.   Volná kapacita 160 z 160     Čt 2.9.   Volná kapacita 160 z 160     Pá 3.9.   Volná kapacita 160 z 160     So 4.9.   Volná kapacita 80 z 80     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 160 z 160
94,R.M.A. Centrum s.r.o. - odběrové místo P-7 Dukelských hrdinů,"Dukelských hrdinů 17, Praha 7, 170 00",Praha 7,233378809,Osoby se žádankou i samoplátce,,Rezervační systém,reservatic.com,Ne,Út 31.8.   Volná kapacita 84 z 84     St 1.9.   Volná kapacita 84 z 84     Čt 2.9.   Volná kapacita 84 z 84     Pá 3.9.   Volná kapacita 24 z 24     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 84 z 84
95,"R.M.A.Centrum, s.r.o. Praha 4","1318/21, 14200 Praha 4",budova Viadrus,603752868,Osoby se žádankou i samoplátce,,"on-line, telefon",reservatic.com,Ne,Út 31.8.   Volná kapacita 168 z 168     St 1.9.   Volná kapacita 168 z 168     Čt 2.9.   Volná kapacita 168 z 168     Pá 3.9.   Volná kapacita 120 z 120     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 168 z 168
96,SALUBRITA,"Palackého 5, Praha 1","2.patro, vchod A",739566996,Samoplátce,,Telefonicky nebo mailem info@salubrita.cz,reservatic.com,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Maximální kapacita     Čt 2.9.   Maximální kapacita     Pá 3.9.   Maximální kapacita     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Maximální kapacita
97,"Scimed Biotechnologies, s.r.o. - odběrové místo","Hybernská 1033, Praha 1",v  přízemí ve vniřním traktu areálu,734861375,Osoby se žádankou i samoplátce,,rezervační systém,reservatic.com,Ne,Út 31.8.   Volná kapacita 210 z 221     St 1.9.   Volná kapacita 143 z 145     Čt 2.9.   Volná kapacita 145 z 145     Pá 3.9.   Volná kapacita 169 z 174     So 4.9.   Volná kapacita 55 z 60     Ne 5.9.   Volná kapacita 60 z 60     Po 6.9.   Volná kapacita 143 z 145
98,"Scimed Biotechnologies, s.r.o. - odběrové místo Praha Lidická","Lidická 337/30, Praha 5, 150 00",v areálu Andělského pivovaru,734172422,Osoby se žádankou i samoplátce,,Přes webové stránky,reservatic.com,Ne,Út 31.8.   Volná kapacita 192 z 249     St 1.9.   Volná kapacita 240 z 249     Čt 2.9.   Volná kapacita 235 z 249     Pá 3.9.   Volná kapacita 164 z 169     So 4.9.   Volná kapacita 167 z 169     Ne 5.9.   Volná kapacita 245 z 249     Po 6.9.   Volná kapacita 245 z 249
99,"SPADIA LAB, a.s. - Praha  Žluté lázně","Podolské nábř. 3/1184, Praha 4",Parkoviště Lázně - přistavěny dva odběrové kontejnery,+420704969884,Osoby se žádankou i samoplátce,,"PCR, antigenní  testy - rezervační systém, bez objednání",www.spadia.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
100,SYNLAB Praha Bělohorská - odběrové místo,Bělohorská 39,,733756557,Samoplátce,,Na emailové adrese: odberybelohorska@synlab.cz,,Ne,Út 31.8.   Volná kapacita32 z 80     St 1.9.   Volná kapacita 58 z 80     Čt 2.9.   Volná kapacita 44 z 60     Pá 3.9.   Zavřeno     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 74 z 80
101,SYNLAB Praha CUBE Evropská - odběrové místo,"Evropská 423/178, Praha 6","u vjezdové brány zadního traktu Laboratoře Praha, CUBE",,Osoby se žádankou i samoplátce,,Přes webové stránky,rezervace-synlab.cz,Ano,Út 31.8.   Maximální kapacita     St 1.9.   Maximální kapacita     Čt 2.9.   Maximální kapacita     Pá 3.9.   Maximální kapacita     So 4.9.   Maximální kapacita     Ne 5.9.   Zavřeno     Po 6.9.   Maximální kapacita
102,SYNLAB Praha Zbraslav - odběrové místo,Žitavského 496,,739348655,Osoby se žádankou i samoplátce,,rezervační systém www.synlab.cz,,Ne,Út 31.8.   Volná kapacita 46 z 80     St 1.9.   Volná kapacita 64 z 80     Čt 2.9.   Zavřeno     Pá 3.9.   Volná kapacita 54 z 60     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 78 z 80
103,The clinic medical s.r.o - odběrové místo,"Na Florenci 1023/21a, Praha 1, 110 00","Desfourský palác, průjezd, vstup z ulice Na Florenci",,Samoplátce,,online,www.covidtestpraha.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
104,"Thomayerova nemocnice, odběrové místo","Vídeňská 800, Praha 4, 140 59",G1,704951723,Osoby se žádankou i samoplátce,,Přes webové stránky,reservatic.com,Ne,Út 31.8.   Volná kapacita 120 z 165     St 1.9.   Volná kapacita 142 z 165     Čt 2.9.   Volná kapacita 147 z 165     Pá 3.9.   Volná kapacita 149 z 165     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 156 z 165
105,Urogyn Medico s.r.o. - odběrové místo,"Wilsonova 301/10, Praha",Naše odběrové místo (jedná se o červenou buňku ve venkovní prostoru) se nachází v areálu soukromého parkoviště vedle hlavní budovy vlakového nádraží.,225990999,Samoplátce,,"Telefonicky, e-mailem, online systém Reservatic",www.antigen.cz,Ano,Út 31.8.   Volná kapacita 26 z 28     St 1.9.   Volná kapacita 27 z 28     Čt 2.9.   Volná kapacita 28 z 28     Pá 3.9.   Volná kapacita 28 z 28     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 28 z 28
106,Ústřední vojenská nemocnice,"U Vojenské nemocnice 1200, 169 02 Praha 6",PCR testy: odběrové místo č.2 - kontejnery za budovou B s přístupem ze Stamicovy ulice (info www.uvn.cz). Ag testy: odběrové místo č.3 - stan polní nemocnice (info www.uvn.cz).,739524765,Osoby se žádankou i samoplátce,,Přes webové stránky,reservatic.com,Ne,Út 31.8.   Volná kapacita 816 z 1368     St 1.9.   Volná kapacita 1200 z 1368     Čt 2.9.   Volná kapacita 1242 z 1368     Pá 3.9.   Volná kapacita 1242 z 1368     So 4.9.   Volná kapacita 702 z 744     Ne 5.9.   Volná kapacita 708 z 744     Po 6.9.   Volná kapacita 1299 z 1368
107,"VIDIA-DIAGNOSTIKA, spol. s r.o - odběrové místo","Lisabonská 2422/2, Praha 9",plocha u parkovacího domu Parking Arena,+420607285286,Osoby se žádankou i samoplátce,,"online, telefonicky",www.vidia-diagnostika.cz,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
108,"VIDIA-DIAGNOSTIKA, spol. s r.o - odběrové místo Rajská zahrada","Chlumecká 760/1, 198 00 Praha 9",parkoviště u stanice Metra Rajská zahrada,722982591,Osoby se žádankou i samoplátce,,On-line,,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
109,Všeobecná fakultní nemocnice v Praze - odběrové místo,"Na Bojišti 1, Praha","zadní dvůr, vstup ulicí Ke Karlovu",224964530,Osoby se žádankou i samoplátce,,Přes webové stránky,mysolp.vfn.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 64 z 117     Čt 2.9.   Volná kapacita 75 z 117     Pá 3.9.   Volná kapacita 87 z 117     So 4.9.   Volná kapacita 46 z 46     Ne 5.9.   Volná kapacita 46 z 46     Po 6.9.   Volná kapacita 112 z 117
110,YES Business s.r.o.,"Plynární 1617/10, Praha","Budova Business Link Visionary, poliklinika Holešovice, zubní ordinace YES Dental",732747172,Osoby se žádankou i samoplátce,,"online, telefon, email",reservatic.com,Ne,Út 31.8.   Volná kapacita 351 z 360     St 1.9.   Volná kapacita 351 z 360     Čt 2.9.   Maximální kapacita     Pá 3.9.   Volná kapacita 144 z 144     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Zavřeno
111,Zotavovna VS ČR - odběrové místo Na Květnici,Na květnici 1105/10,Praha 4,,Osoby se žádankou i samoplátce,,telefonicky,,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
112,AESKULAB České Budějovice,"Senovážné náměstí 231/7, České Budějovice",Aeskulab Č. Budějovice,+420731133273,Osoby se žádankou i samoplátce,,Elektronický rezervační systém,rezervace.aeskulab.cz,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Volná kapacita16 z 88     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 57 z 88
113,CITYLAB spol. s r.o. - odběrové místo Milevsko,"Kpt. Nálepky 1549, 399 01 Milevsko",u fotbalového hřiště,,Osoby se žádankou i samoplátce,,Přes webové stránky,,Ne,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Žádná data     Ne 5.9.   Žádná data     Po 6.9.   Žádná data
114,CITYLAB spol. s r.o. České Budějovice,"Dr. Bureše 1251/9a, 37005 České Budějovice",Poliklinika Medicentrum MÁJ - 5.patro,778745653,Osoby se žádankou i samoplátce,,Přes webové stránky,www.citylab.cz,Ne,Út 31.8.   Volná kapacita2 z 110     St 1.9.   Volná kapacita 76 z 100     Čt 2.9.   Volná kapacita 79 z 101     Pá 3.9.   Volná kapacita 49 z 74     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 93 z 104
115,EUC Laboratoře - odběrové místo poliklinika České Budějovice,"Matice školské 1786/17, České Budějovice",,725572830,Osoby se žádankou i samoplátce,,Přes webové stránky,rezervace.euclaboratore.cz,Ne,Út 31.8.   Maximální kapacita     St 1.9.   Volná kapacita 26 z 52     Čt 2.9.   Volná kapacita 40 z 52     Pá 3.9.   Maximální kapacita     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Volná kapacita 39 z 54
116,GEN-TREND s.r.o. - odběrové místo Rudolfov,"Hůry 149, Rudolfov 373 71",parkoviště před budovou,+420608636119,Osoby se žádankou i samoplátce,,online,www.gentrend.cz,Ano,Út 31.8.   Žádná data     St 1.9.   Žádná data     Čt 2.9.   Žádná data     Pá 3.9.   Žádná data     So 4.9.   Zavřeno     Ne 5.9.   Zavřeno     Po 6.9.   Žádná data
